ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,STAZIONE DI LAVAGGIO CHE EFFETTUA LA DISINFEZIONE DEGLI AUTOMEZZI DESTINATI AL TRASPORTO ANIMALE,STAZIONE DI LAVAGGIO CHE EFFETTUA LA DISINFEZIONE DEGLI AUTOMEZZI DESTINATI AL TRASPORTO ANIMALE,ALT-AUT-AUT,ALT,AUT,AUT,X,,X,,COMUNICAZIONE,,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,FORMAZIONE PER ALIMENTARISTI,ALT-FORM-ALI,ALT,FORM,ALI,X,,X,,COMUNICAZIONE,113,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,FORMAZIONE BENESSERE ANIMALE IN ALLEVAMENTO,ALT-FORM-BANA,ALT,FORM,BANA,X,,X,,COMUNICAZIONE,116,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,FORMAZIONE BENESSERE ANIMALE DURANTE LA MACELLAZIONE,ALT-FORM-BENM,ALT,FORM,BENM,X,,X,,COMUNICAZIONE,,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,FORMAZIONE INTERVENTI ASSISTITI CON ANIMALI (IAA),ALT-FORM-IAA,ALT,FORM,IAA,X,,X,,COMUNICAZIONE,125,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,FORMAZIONE PER MICOLOGI,ALT-FORM-MIC,ALT,FORM,MIC,X,,X,,COMUNICAZIONE,115,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,FORMAZIONE PER OPERATORI LAICI PER LA FECONDAZIONE ARTIFICIALE ANIMALE,ALT-FORM-OPF,ALT,FORM,OPF,X,,X,,COMUNICAZIONE,6,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,"FORMAZIONE PER OPERATORE LAICO CHE EFFETTUA INTERVENTI CRUENTI SUI SUINI RICOMPRESI NELL'ALL.1, PARTE 1, PUNTO 8 DEL D.L.VO 122/2011",ALT-FORM-OPS,ALT,FORM,OPS,X,,X,,COMUNICAZIONE,,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,ALTRO,AGENZIA DI FORMAZIONE RICONOSCIUTA DALLA REGIONE,FORMAZIONE PER CONDUCENTI/GUARDIANI ADDETTI AL TRASPORTO ANIMALI,ALT-FORM-TRAS,ALT,FORM,TRAS,X,,X,,COMUNICAZIONE,114,,,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,PRODUZIONE PRIMARIA,ALLEVAMENTO ANIMALI DA PELLICCIA O DA PELO-ALLEVAMENTO,ALLEVAMENTO ANIMALI DA PELLICCIA O DA PELO-ALLEVAMENTO,MS.000-AL-PEL,MS.000,AL,PEL,X,,X,,SCIA UNICA,,2,X,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,PRODUZIONE PRIMARIA,ALLEVAMENTO ANIMALI UTILIZZATI COME ESCHE - ALLEVAMENTO,ALLEVAMENTO ANIMALI UTILIZZATI COME ESCHE - ALLEVAMENTO,MS.000-ALES-016,MS.000,ALES,16,X,,X,,SCIA UNICA,,1,X,,,,,,,,,,
ALTRA NORMATIVA,ALTRA NORMATIVA,PRODUZIONE PRIMARIA,LOMBRICHI - ALLEVAMENTO,LOMBRICHI - ALLEVAMENTO,MS.000-ALLOM-019,MS.000,ALLOM,19,X,,X,,SCIA UNICA,,1,X,,,,,,,,,,
D.L.vo 14 agosto 2012 n. 150,150-12,PRODOTTI FITOSANITARI,COMMERCIO,COMMERCIO DI FITOSANITARI IN ESERCIZI DI VICINATO,FITO-E500A-E510A,FITO,E500A,E510A,X,,X,,SCIA CONDIZIONATA (SCIA AMMINISTRATIVA + AUTORIZZAZIONE SANITARIA),110,3,X,,,,,,,,,,
D.L.vo 14 agosto 2012 n. 150,150-12,PRODOTTI FITOSANITARI,COMMERCIO,COMMERCIO DI FITOSANITARI IN GRANDI STRUTTURE DI VENDITA,FITO-E500A-E510A,FITO,E500A,E510A,X,,X,,AUTORIZZAZIONE AMMINISTRATIVA + AUTORIZZAZIONE SANITARIA,110,3,X,,,,,,,,,,
D.L.vo 14 agosto 2012 n. 150,150-12,PRODOTTI FITOSANITARI,COMMERCIO,COMMERCIO DI FITOSANITARI IN MEDIE STRUTTURE DI VENDITA,FITO-E500A-E510A,FITO,E500A,E510A,X,,X,,AUTORIZZAZIONE AMMINISTRATIVA + AUTORIZZAZIONE SANITARIA,110,3,X,,,,,,,,,,
D.L.vo 14 agosto 2012 n. 150,150-12,PRODOTTI FITOSANITARI,COMMERCIO,COMMERCIO INGROSSO IN LOCALI CON SUPERFICIE TOTALE LORDA COMPRENSIVA DI SERVIZI E DEPOSITI INFERIORE A 400 MQ,FITO-E500A-E520A,FITO,E500A,E520A,X,,X,,SCIA CONDIZIONATA (COMUNICAZIONE + AUTORIZZAZIONE SANITARIA),110,3,X,,,,,,,,,,
D.L.vo 14 agosto 2012 n. 150,150-12,PRODOTTI FITOSANITARI,COMMERCIO,COMMERCIO INGROSSO IN LOCALI CON SUPERFICIE TOTALE LORDA COMPRENSIVA DI SERVIZI E DEPOSITI SUPERIORE A 400 MQ,FITO-E500A-E520A,FITO,E500A,E520A,X,,X,,SCIA CONDIZIONATA (COMUNICAZIONE + AUTORIZZAZIONE SANITARIA+ SCIA PREVENZIONE INCENDI),110,3,X,,,,,,,,,,
D.L.vo 14 agosto 2012 n. 150,150-12,PRODOTTI FITOSANITARI,COMMERCIO,INTERMEDIARIO SENZA DEPOSITO,FITO-E500A-E530A,FITO,E500A,E530A,X,,,X,SCIA CONDIZIONATA (SCIA AMMINISTRATIVA + AUTORIZZAZIONE SANITARIA),110,,,,,,,,,,,,
D.L.vo 193-06,193-06,FARMACI VETERINARI,"ALLEVAMENTO DI ANIMALI, PER IL QUALE E' NECESSARIO IL CODICE AZIENDALE BDN, MUNITO DI SCORTA DI FARMACI VETERINARI",CON SCORTA AD USO DEL O DEI PROPRI ALLEVAMENTI SITI ALL'INTERNO DI UN'UNICA AZIENDA,FVET-ADVET-SAF,FVET,ADVET,SAF,X,,X,,SCIA,119,3,X,,,,,,,,,,
D.L.vo 193-06,193-06,FARMACI VETERINARI,"CONCENTRAMENTO DI ANIMALI, PER IL QUALE NON E' NECESSARIO IL CODICE AZIENDALE BDN, MUNITO DI SCORTA DI FARMACI VETERINARI","CONCENTRAMENTO DI ANIMALI, PER IL QUALE NON E' NECESSARIO IL CODICE AZIENDALE BDN, MUNITO DI SCORTA DI FARMACI VETERINARI",FVET-ANVET-SAF,FVET,ANVET,SAF,X,,X,,SCIA,119,3,X,,,,,,,,,,
